#Source: http://thegreatestbooks.org/
339,Art and Illusion,Ernest H. Gombrich,1960
340,The Souls of Black Folk,W.E.B. Du Bois,1903
341,Children of Crisis,Robert Coles,1967
342,Principia Ethica,George Moore,1903
343,Philosophy and Civilization,John Dewey,1931
344,Hiroshima,John Hersey,1946
345,On Growth and Form,D'Arcy Wentworth Thompson,1917
346,The Age of Jackson,"Arthur Schlesinger, Jr.",1945
347,Ideas and Opinions,Albert Einstein,1954
348,Parerga and Paralipomena,Arthur Schopenhauer,1851
349,The Son of a Servant,August Strindberg,1886
350,On War,Carl Von Clausewitz,1832
351,The 18th Brumaire of Louis Bonaparte,Karl Marx,1852
352,"Human, All Too Human",Friedrich Nietzsche,1878
353,My Life,Leon Trotsky,1929
354,Germania,Cornelius Tacitus,98
355,Science and Civilisation in China,Joseph Needham,1954
356,Persepolis,Marjane Satrapi,2000
357,The Autobiography of Mark Twain,Mark Twain,1959
358,Present at the Creation,Dean Acheson,1969
359,Pilgrim at Tinker Creek,Annie Dillard,1975
360,Great Bridge,David McCullough,1972
361,Profiles in Courage,John F. Kennedy,1955
362,Man's Search for Meaning,Victor Frankl,1984
363,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,
364,Why We Can't Wait,"Martin Luther King, Jr.",1964
365,Night,Elie Wiesel,1960
366,The World as Will and Idea,Arthur Schopenhauer,1818
367,Working,Studs Terkel,1974
368,Darkness Visible,William Styron,1989
369,The House of Morgan,Ron Chernow,1990
370,In the American Grain,William Carlos Williams,1925
371,Cadillac Desert,Marc Reisner,1986
372,A Bright Shining Lie,Neil Sheehan,1988
373,The Sweet Science,A. J. Liebling,1956
374,This Boy's Life,Tobias Wolff,1989
375,West With the Night,Beryl Markham,1942
376,James Joyce,Richard Ellmann,1983
377,Religion And The Rise Of Capitalism,R. H. Tawney,1922
378,The Great War and Modern Memory,Paul Fussell,1975
379,Roughing It,Mark Twain,1872
380,A Preface to Morals,Walter Lippmann,1929
381,The Gate of Heavenly Peace,Jonathan D. Spence,1982
382,The Rise of Theodore Roosevelt,Edmund Morris,1979
383,The Strange Career of Jim Crow,C. Vann Woodward,1955
384,The Journalist and the Murderer,Janet Malcolm,1990
385,The Rise of the West,William H. McNeill,1991
386,Shadow and ACT,Ralph Ellison,1964
387,Reveille in Washington,Margaret Leech,1942
388,The Gnostic Gospels,Elaine Pagels,1979
389,Florence Nightingale,Cecil Woodham-Smith,1983
390,The Road from Coorain,Jill Ker Conway,1989
391,Studies in Iconology,Erwin Panofsky,1939
392,The Strange Death of Liberal England,George Dangerfield,1935
393,Vermeer,Lawrence Gowing,1952
394,The American Political Tradition,Richard Hofstadter,1948
395,Contours of American History,William Appleman Williams,1961
396,The Promise of American Life,Herbert Croly,1909
397,The Taming of Chance,Ian Hacking,1990
398,Operating Instructions,Anne Lamott,1994
399,Melbourne,David Cecil,1954
400,Galapagos: World's End,William Beebe,1924
401,One Two Three . . . Infinity: Facts and Speculations of Science,George Gamow,1947
402,The Social Contract,Jean-Jacques Rousseau,1762
403,The Man Who Mistook His Wife for a Hat,Oliver Sacks,
404,An Anatomical Exercise on the Motion of the Heart and Blood in Living Beings,William Harvey,1628
405,Napoleon,Vincent Cronin,1971
406,The Reason Why,Cecil Woodham-Smith,1953
407,Microbe Hunters,Paul de Kruif,1926
408,The Name Above the Title: An Autobiography,Frank Capra,1971
409,Escape from Freedom,Erich Fromm,1941
410,Roosevelt: The Lion and the Fox (1882–1940),James MacGregor Burns,1956
411,The Immortal Life of Henrietta Lacks,Rebecca Skloot,
412,The Two-Ocean War: A Short History of the United States Navy in the Second World War,Samuel Eliot Morison,1963
413,The Unsettling of America,Wendell Berry,1960
414,Citizens,Simon Schama,1989
415,My Childhood,Maxim Gorky,1913
416,Lives of the Caesars,Suetonius,121
417,Titi Livi Ab urbe condita libri,Livy,-9
418,"Eats, Shoots and Leaves",Lynne Truss,2003
419,The Rise and Fall of the Third Reich,William L. Shirer,1960
420,The Sickness Unto Death,Søren Kierkegaard,1849
421,Areopagitica,John Milton,1644
422,A History of the English-Speaking Peoples ,Winston Churchill,1956
423,Kama Sutra,Vātsyāyana,200
424,The Anglo-Saxon Chronicle,Unknown,875
425,A Child Called 'It' ,Dave Pelzer,1995
426,Catiline Orations,Marcus Tullius Cicero,-63
427,Canon of Medicine,Avicenna,1025
428,Schott's Original Miscellany,Ben Schott,2002
429,Lives of the Artists,Giorgio Vasari,1908
430,The Origins of the Second World War,A. J. P. Taylor,1961
431,The Life of Charlotte Brontë,Elizabeth Gaskell,1857
432,Biographia Literaria,Samuel Taylor Coleridge,1817
433,The Age of Reason,Thomas Paine,1794
434,An Essay on the Principle of Population,Thomas Robert Malthus,1798
435,The Beauty Myth,Naomi Wolf,1991
436,How to Cook,Delia Smith,1971
437,Diaries,Alan Clark,1983
438,Atlas,Gerardus Mercator,1585
439,The Tao of Physics,Fritjof Capra,1975
440,Scepticism and Animal Faith,George Santayana,1923
441,Memoirs of a Fox-Hunting Man,Siegfried Sassoon,1928
442,Essays of Henry David Thoreau,Henry David Thoreau,1862
443,A People's Tragedy,Orlando Figes,1996
444,A Year in Provence,Peter Mayle,1989
445,L'Encyclopédie,Diderot,1751
446,A History of the Crusades,Stephen Runciman,1951
447,Encyclopédie,Denis Diderot,1751
448,Three Cups of Tea,"Greg Mortenson, David Oliver Relin",2006
449,Mountains Beyond Mountains: One doctor's quest to heal the world,Tracy Kidder,2003
450,Narrative of the Life of Frederick Douglass,Frederick Douglass,1845
451,Kaffir Boy,Mark Mathabane,1986
452,A Heartbreaking Work of Staggering Genius,Dave Eggers,2000
453,"Guns, Germs, and Steel",Jared Diamond,1997
454,"Gödel, Escher, Bach",Douglas Hofstadter,1979
455,The Year of Magical Thinking,Joan Didion,2005
456,The Story of Art,E. H. Gombrich,1950
457,The Story of Art,Ernst Hans Gombrich,1950
458,Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,1995
459,Free to Choose: A Personal Statement,"Milton Friedman, Rose Friedman",1980
460,A Sand County Almanac,Aldo Leopold,1949
461,"The Theory of Economic Development: An Inquiry into Profits, Capital, Credit, Interest, and the Business Cycle",Joseph A. Schumpeter,1911
462,The Dancing Wu Li Masters,Gary Zukav,1979
463,How Democracies Perish,Jean François Revel,1983
464,The Clash of Civilizations ,Samuel P. Huntington,1996
465,The Songlines,Bruce Chatwin,1987
466,Small Is Beautiful: Economics as if People Mattered,E. F. Schumacher,1973
467,"The Road Less Travelled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,1978
468,Entropy,"Jeremy Rifkin, Ted Howard",
469,The Meaning of Hitler,Sebastian Haffner,1978
470,An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,Al Gore,2006
471,All the President's Men,"Bob Woodward, Carl Bernstein",
472,Desert Flower,"Waris Dirie, Cathleen Miller",1998
473,Guerrilla Warfare,Che Guevara,1961
474,Sybil,Flora Rheta Schreiber,1973
475,Reading Lolita in Tehran,Azar Nafisi,2003
476,First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,2000
477,Freakonomics,Steven D. Levitt and Stephen J. Dubner,2005
478,The Looming Tower,Lawrence Wright,2006
479,Dreams from My Father,Barack Obama,2004
480,Being and Nothingness,Jean-Paul Sartre,1943
481,Me Talk Pretty One Day,David Sedaris,2000
482,The Liars' Club,Mary Karr,1995
483,Bad Science,Ben Goldacre,2008
484,Red Scarf Girl,Ji-li Jiang,1998
485,Zeitoun,Dave Eggers,2009
486,I Have Lived a Thousand Years,Livia Bitton-Jackson,1997
487,London: The Biography,Peter Ackroyd,2000
488,A People's History of the United States,Howard Zinn,1980
489,I and Thou,Martin Buber,1923
490,Notes from a Small Island,Bill Bryson,1995
491,Beyond Freedom and Dignity,B.F. Skinner,1971
492,Syntactic Structures,Noam Chomsky,1957
493,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,
